query_idx_0,query_idx_1,return_0,return_1,rd,gt_label,human_label
4999_0_110,94999_0_105,0.4110427,48.706448,48.295406,0 1,0 1
139999_0_61,189999_0_124,34.380722,49.837265,15.456543,0 1,0 1
209999_0_41,39999_1_92,27.310083,48.862293,21.55221,0 1,0 0
174999_1_42,34999_0_44,49.493435,3.8960311,45.597404,1 0,1 0
174999_1_42,129999_1_24,49.493435,0.4421724,49.05126,1 0,1 0
164999_1_14,164999_1_14,30.093342,30.093342,0.0,0 1,0 1
34999_0_75,19999_1_108,16.073427,43.16521,27.091784,0 1,0 1
179999_1_61,59999_0_104,39.895775,49.93132,10.035545,0 1,0 1
69999_1_97,69999_1_71,49.2767,42.871296,6.405403,1 0,1 0
34999_1_54,39999_0_70,49.061337,45.02439,4.0369453,1 0,0 0
169999_1_33,139999_0_61,30.7464,34.380722,3.6343212,0 1,1 0
109999_1_43,209999_0_41,42.906303,27.310083,15.59622,1 0,1 0
109999_1_43,154999_0_47,42.906303,42.03017,0.87613297,1 0,0 0
34999_1_3,74999_0_137,10.149418,48.49792,38.348503,0 1,0 0
94999_0_20,109999_1_43,22.124454,42.906303,20.781849,0 1,0 1
14999_0_55,84999_1_30,41.984,19.54788,22.436121,1 0,1 0
74999_0_7,4999_1_48,24.025549,16.591927,7.4336224,1 0,1 0
34999_1_54,169999_1_56,49.061337,30.512444,18.548893,1 0,1 0
189999_1_95,169999_1_56,49.280384,30.512444,18.76794,1 0,1 0
109999_1_43,159999_1_70,42.906303,47.245205,4.3389015,0 1,0 0
129999_1_24,54999_1_14,0.4421724,25.841139,25.398966,0 1,0 1
129999_1_24,84999_0_29,0.4421724,14.094686,13.6525135,0 1,0 1
129999_1_25,164999_1_31,0.44022757,35.336002,34.895775,0 1,0 1
164999_1_31,129999_1_24,35.336002,0.4421724,34.89383,1 0,1 0
54999_1_14,34999_1_3,25.841139,10.149418,15.691721,1 0,1 0
34999_1_3,174999_0_112,10.149418,31.9257,21.776281,0 1,0 1
9999_0_55,139999_0_61,14.688329,34.380722,19.692394,0 1,0 1
184999_1_30,179999_1_146,38.53016,45.80186,7.271702,0 1,1 0
29999_1_79,44999_1_47,45.29502,45.98508,0.69005966,0 1,0 0
44999_1_47,99999_0_112,45.98508,24.055674,21.929407,1 0,1 0
134999_1_7,209999_0_41,1.9042058,27.310083,25.405878,0 1,0 1
154999_0_47,179999_1_34,42.03017,42.75306,0.72288895,0 1,1 0
74999_0_140,39999_0_108,49.38785,49.386322,0.0015296936,1 0,0 1
69999_1_97,74999_0_140,49.2767,49.38785,0.11115265,0 1,0 0
179999_1_146,29999_0_100,45.80186,38.16952,7.6323395,1 0,0 0
184999_1_30,84999_0_94,38.53016,29.804005,8.726154,1 0,1 0
159999_1_70,49999_0_19,47.245205,37.909992,9.335213,1 0,0 0
39999_0_88,44999_1_96,46.135853,43.022835,3.113018,1 0,0 0
94999_0_20,69999_0_28,22.124454,34.097233,11.972778,0 1,0 1
204999_1_94,84999_0_142,48.127052,49.904804,1.7777519,0 1,0 0
29999_0_100,189999_1_93,38.16952,49.19439,11.024868,0 1,0 1
104999_0_97,69999_0_28,45.423176,34.097233,11.325943,1 0,0 1
169999_1_56,154999_0_47,30.512444,42.03017,11.517727,0 1,0 1
164999_1_14,99999_0_51,30.093342,31.387157,1.2938156,0 1,0 0
99999_0_112,104999_0_97,24.055674,45.423176,21.367502,0 1,0 1
44999_1_47,29999_0_100,45.98508,38.16952,7.8155594,1 0,0 1
49999_1_112,104999_0_97,34.15319,45.423176,11.269985,0 1,0 1
69999_1_71,174999_0_125,42.871296,29.021927,13.849369,1 0,1 0
179999_1_34,84999_0_94,42.75306,29.804005,12.949055,1 0,1 0
189999_1_47,179999_1_146,42.129223,45.80186,3.672638,0 1,0 1
159999_1_70,174999_0_16,47.245205,34.84925,12.395954,1 0,1 0
104999_0_97,114999_0_111,45.423176,44.941784,0.4813919,1 0,0 1
44999_1_96,164999_0_109,43.022835,49.841976,6.8191414,0 1,0 0
174999_0_112,174999_0_16,31.9257,34.84925,2.9235516,0 1,0 0
94999_0_105,29999_0_100,48.706448,38.16952,10.536926,1 0,1 0
54999_1_148,44999_1_96,49.739326,43.022835,6.7164917,1 0,0 0
24999_0_136,204999_1_94,49.949852,48.127052,1.8227997,1 0,0 0
204999_1_94,209999_1_123,48.127052,49.892693,1.7656403,0 1,1 0
44999_0_143,189999_0_144,49.369244,49.65032,0.28107452,0 1,1 0
44999_1_47,169999_1_33,45.98508,30.7464,15.23868,1 0,1 0
94999_1_113,4999_1_48,3.4849992,16.591927,13.106928,0 1,1 0
159999_0_57,169999_1_56,35.432556,30.512444,4.9201126,1 0,0 0
14999_0_42,174999_1_16,41.76369,32.070686,9.693005,1 0,1 0
34999_0_44,94999_1_113,3.8960311,3.4849992,0.41103196,1 0,0 0
134999_1_80,184999_1_30,39.062637,38.53016,0.53247833,1 0,0 0
154999_0_47,14999_1_131,42.03017,34.982773,7.0473976,1 0,0 0
49999_0_19,114999_0_111,37.909992,44.941784,7.0317917,0 1,0 1
44999_1_96,94999_0_105,43.022835,48.706448,5.683613,0 1,0 0
29999_0_100,174999_1_16,38.16952,32.070686,6.098835,1 0,0 0
169999_1_116,184999_1_99,49.92369,49.13974,0.7839508,1 0,0 0
144999_1_35,169999_1_33,32.75572,30.7464,2.0093174,1 0,0 0
159999_1_70,154999_0_47,47.245205,42.03017,5.2150345,1 0,0 0
44999_1_47,29999_0_100,45.98508,38.16952,7.8155594,1 0,1 0
204999_1_94,169999_1_116,48.127052,49.92369,1.7966385,0 1,0 0
69999_0_28,14999_0_42,34.097233,41.76369,7.666458,0 1,0 0
54999_0_26,14999_1_33,9.719154,2.0540478,7.665107,1 0,1 0
19999_1_103,144999_1_35,38.624187,32.75572,5.868469,1 0,0 1
179999_1_34,179999_1_61,42.75306,39.895775,2.8572845,1 0,0 0
199999_1_42,159999_0_57,41.743603,35.432556,6.3110466,1 0,1 0
14999_1_53,54999_0_26,1.9579909,9.719154,7.7611637,0 1,0 1
54999_0_26,49999_1_41,9.719154,12.886833,3.1676788,0 1,0 0
34999_1_3,4999_1_48,10.149418,16.591927,6.4425087,0 1,1 0
34999_0_75,139999_0_61,16.073427,34.380722,18.307295,0 1,0 1
99999_0_51,174999_0_125,31.387157,29.021927,2.3652306,1 0,0 0
174999_0_125,84999_0_94,29.021927,29.804005,0.7820778,0 1,0 0
14999_0_55,114999_0_111,41.984,44.941784,2.9577827,0 1,1 0
19999_1_103,174999_0_112,38.624187,31.9257,6.698488,1 0,0 1
29999_1_79,204999_1_103,45.29502,49.60909,4.314068,0 1,0 1
84999_0_29,9999_0_55,14.094686,14.688329,0.5936432,0 1,1 0
114999_0_111,189999_1_93,44.941784,49.19439,4.2526054,0 1,0 0
44999_1_96,204999_1_94,43.022835,48.127052,5.1042175,0 1,0 0
