query_idx_0,query_idx_1,return_0,return_1,rd,gt_label,human_label
174999_1_42,139999_1_84,49.493435,49.815773,0.3223381,0 1,0 0
99999_0_112,159999_1_70,24.055674,47.245205,23.189531,0 1,1 0
209999_1_123,14999_1_131,49.892693,34.982773,14.90992,1 0,1 0
179999_1_34,54999_0_26,42.75306,9.719154,33.033905,1 0,1 0
79999_0_122,164999_1_14,49.651043,30.093342,19.557701,1 0,1 0
34999_0_75,174999_0_112,16.073427,31.9257,15.852272,0 1,0 1
159999_0_57,149999_1_90,35.432556,45.614597,10.182041,0 1,1 0
54999_1_14,14999_1_53,25.841139,1.9579909,23.883148,1 0,1 0
79999_0_121,14999_1_53,49.65434,1.9579909,47.696346,1 0,0 0
174999_0_16,144999_0_69,34.84925,49.918465,15.069214,0 1,0 1
84999_1_30,114999_0_111,19.54788,44.941784,25.393904,0 1,1 0
164999_0_109,39999_0_88,49.841976,46.135853,3.7061234,1 0,0 1
74999_0_140,164999_0_129,49.38785,49.31585,0.07200241,1 0,0 1
84999_0_142,194999_0_24,49.904804,11.524044,38.38076,1 0,1 0
164999_1_14,164999_1_14,30.093342,30.093342,0.0,0 1,0 0
99999_0_51,94999_0_105,31.387157,48.706448,17.31929,0 1,0 1
49999_0_19,49999_0_19,37.909992,37.909992,0.0,0 1,0 0
14999_1_131,174999_1_16,34.982773,32.070686,2.9120865,1 0,0 0
19999_1_103,144999_1_35,38.624187,32.75572,5.868469,1 0,0 1
114999_0_111,159999_0_57,44.941784,35.432556,9.509228,1 0,0 0
204999_1_103,174999_0_16,3.4849992,16.073427,12.5884285,0 1,0 1
204999_1_103,174999_0_16,34.380722,35.336002,0.9552803,0 1,0 0
204999_1_103,174999_0_16,49.93132,41.984,7.947319,1 0,1 0
204999_1_103,174999_0_16,31.387157,42.906303,11.519146,0 1,0 1
204999_1_103,174999_0_16,42.75306,29.021927,13.7311325,1 0,0 1
204999_1_103,174999_0_16,49.884106,49.061337,0.82276917,1 0,0 1
204999_1_103,174999_0_16,49.369244,38.53016,10.839085,1 0,0 1
204999_1_103,174999_0_16,30.7464,39.895775,9.149374,0 1,0 1
204999_1_103,174999_0_16,42.03017,38.624187,3.405983,1 0,0 1
204999_1_103,174999_0_16,48.706448,41.76369,6.9427567,1 0,1 0
204999_1_103,174999_0_16,49.369244,49.815773,0.4465294,0 1,1 0
204999_1_103,174999_0_16,49.369244,48.49792,0.87132263,1 0,0 0
204999_1_103,174999_0_16,44.941784,48.862293,3.9205093,0 1,0 0
204999_1_103,174999_0_16,22.124454,49.051533,26.927078,0 1,0 1
204999_1_103,174999_0_16,49.93132,49.60909,0.3222313,1 0,0 0
204999_1_103,174999_0_16,49.31585,49.493435,0.1775856,0 1,0 0
204999_1_103,174999_0_16,49.841976,49.051533,0.7904434,1 0,0 1
204999_1_103,174999_0_16,49.65434,29.804005,19.850334,1 0,1 0
204999_1_103,174999_0_16,49.892693,49.841976,0.0507164,1 0,0 1
204999_1_103,174999_0_16,38.624187,32.246162,6.378025,1 0,1 0
9999_0_55,139999_1_84,1.9042058,14.688329,12.784122,0 1,0 0
9999_0_55,139999_1_84,43.022835,49.651043,6.628208,0 1,0 0
9999_0_55,139999_1_84,38.16952,22.124454,16.045067,1 0,0 1
9999_0_55,139999_1_84,29.804005,42.129223,12.325218,0 1,0 0
9999_0_55,139999_1_84,34.15319,35.432556,1.2793655,0 1,0 0
9999_0_55,139999_1_84,34.982773,32.75572,2.2270546,1 0,0 0
9999_0_55,139999_1_84,43.104183,44.941784,1.8376007,0 1,1 0
9999_0_55,139999_1_84,24.025549,31.387157,7.3616085,0 1,0 1
9999_0_55,139999_1_84,38.16952,48.49792,10.3284,0 1,0 1
9999_0_55,139999_1_84,49.493435,49.815773,0.3223381,0 1,1 0
9999_0_55,139999_1_84,32.75572,42.906303,10.150585,0 1,0 1
9999_0_55,139999_1_84,45.98508,31.9257,14.0593815,1 0,1 0
9999_0_55,139999_1_84,49.918465,49.93132,0.01285553,0 1,0 0
9999_0_55,139999_1_84,32.75572,41.743603,8.9878845,0 1,0 1
9999_0_55,139999_1_84,46.135853,49.841976,3.7061234,0 1,1 0
9999_0_55,139999_1_84,49.369244,49.92369,0.5544472,0 1,0 0
9999_0_55,139999_1_84,42.871296,39.18946,3.6818352,1 0,1 0
9999_0_55,139999_1_84,38.624187,42.871296,4.2471085,0 1,0 0
9999_0_55,139999_1_84,42.129223,47.245205,5.115982,0 1,1 0
9999_0_55,139999_1_84,25.841139,34.15319,8.312052,0 1,0 0
129999_1_25,174999_1_96,10.149418,30.512444,20.363026,0 1,0 0
129999_1_25,174999_1_96,12.886833,35.336002,22.44917,0 1,0 1
129999_1_25,174999_1_96,41.76369,42.906303,1.1426125,0 1,0 0
129999_1_25,174999_1_96,19.54788,49.93132,30.38344,0 1,0 1
129999_1_25,174999_1_96,19.54788,49.815773,30.267893,0 1,0 1
129999_1_25,174999_1_96,29.021927,30.512444,1.4905167,0 1,1 0
129999_1_25,174999_1_96,49.493435,49.651043,0.15760803,0 1,1 0
129999_1_25,174999_1_96,19.54788,49.386322,29.838442,0 1,0 1
129999_1_25,174999_1_96,38.624187,31.9257,6.698488,1 0,0 0
129999_1_25,174999_1_96,49.884106,49.65434,0.22976685,1 0,0 0
129999_1_25,174999_1_96,39.062637,48.49792,9.435284,0 1,0 1
129999_1_25,174999_1_96,49.13974,42.871296,6.268444,1 0,0 0
129999_1_25,174999_1_96,49.93132,37.909992,12.021328,1 0,1 0
129999_1_25,174999_1_96,49.65032,34.982773,14.667545,1 0,0 1
129999_1_25,174999_1_96,49.949852,49.918465,0.03138733,1 0,0 0
129999_1_25,174999_1_96,42.906303,49.13974,6.2334366,0 1,0 0
129999_1_25,174999_1_96,42.03017,35.336002,6.694168,1 0,0 0
129999_1_25,174999_1_96,49.38785,43.022835,6.365017,1 0,0 0
129999_1_25,174999_1_96,34.380722,38.624187,4.2434654,0 1,0 0
129999_1_25,174999_1_96,45.80186,43.104183,2.6976776,1 0,0 1
189999_1_47,74999_0_140,14.094686,35.336002,21.241318,0 1,1 0
189999_1_47,74999_0_140,49.2767,48.862293,0.41440582,1 0,0 0
189999_1_47,74999_0_140,25.841139,45.614597,19.773458,0 1,0 1
189999_1_47,74999_0_140,49.386322,38.53016,10.856163,1 0,0 1
189999_1_47,74999_0_140,38.53016,49.93132,11.401161,0 1,0 1
189999_1_47,74999_0_140,49.892693,49.31585,0.57684326,1 0,0 0
189999_1_47,74999_0_140,49.061337,49.918163,0.8568268,0 1,0 1
189999_1_47,74999_0_140,43.104183,41.743603,1.3605804,1 0,0 0
189999_1_47,74999_0_140,41.76369,39.18946,2.5742302,1 0,0 1
189999_1_47,74999_0_140,49.949852,49.918465,0.03138733,1 0,0 0
189999_1_47,74999_0_140,49.92369,48.127052,1.7966385,1 0,0 1
189999_1_47,74999_0_140,49.837265,49.918465,0.081199646,0 1,0 0
189999_1_47,74999_0_140,41.743603,45.98508,4.241478,0 1,0 1
189999_1_47,74999_0_140,45.423176,43.104183,2.3189926,1 0,0 0
189999_1_47,74999_0_140,49.884106,49.386322,0.49778366,1 0,0 0
189999_1_47,74999_0_140,39.18946,49.949852,10.760391,0 1,0 1
189999_1_47,74999_0_140,49.061337,41.984,7.0773354,1 0,1 0
189999_1_47,74999_0_140,49.60909,24.055674,25.553415,1 0,1 0
189999_1_47,74999_0_140,44.941784,42.129223,2.812561,1 0,1 0
189999_1_47,74999_0_140,41.984,31.9257,10.058302,1 0,0 1
