query_idx_0,query_idx_1,return_0,return_1,rd
34999_1_129,49999_0_41,486.0639225905508,386.08324444040494,99.99702290532844
104999_0_76,174999_1_62,323.47349739534724,423.4168491539503,100.01807048991625
139999_0_116,209999_0_28,417.39885309862467,317.43342957762883,100.02630706746034
139999_0_95,209999_0_28,417.40420093682934,317.43342957762883,100.02924706643641
24999_0_108,159999_1_19,242.81997622282134,342.7460745885995,99.9535080676787
179999_1_69,149999_0_4,454.8869919777968,354.9149308878308,100.05424458350672
124999_1_114,4999_0_7,486.8234755029417,386.7927496499643,100.09622138456876
124999_1_114,4999_0_47,486.8234755029417,386.7001595588819,100.15000667755996
104999_0_76,174999_1_91,323.47349739534724,423.60763069228625,100.17155456214931
209999_0_29,174999_1_62,323.2455977992677,423.4168491539503,100.23851334559671
29999_1_20,124999_1_19,295.1490123366912,195.46437759825082,99.69313343437982
209999_0_29,174999_1_91,323.2455977992677,423.60763069228625,100.43109683470594
34999_1_129,4999_0_47,486.0639225905508,386.7001595588819,99.44533782892496
89999_0_73,4999_0_7,487.33923592842234,386.7927496499643,100.57267935264753
89999_0_73,4999_0_47,487.33923592842234,386.7001595588819,100.66981767025686
99999_0_31,94999_0_127,380.44911580092935,479.7216639734993,99.32156910372782
34999_1_129,4999_0_7,486.0639225905508,386.7927496499643,99.29041892390845
209999_0_28,119999_0_26,317.43342957762883,416.6423017378715,99.28575032158162
49999_0_41,124999_1_114,386.08324444040494,486.8234755029417,100.76925821706524
54999_1_90,4999_0_7,487.58175140685495,386.7927496499643,100.80582935630986
