query_idx_0,query_idx_1,return_0,return_1,rd,gt_label,human_label
124999_1_114,24999_1_112,486.8234755029417,186.92865259339732,299.9902278038676,0 1,0 1
179999_0_128,69999_0_6,492.82426834106445,192.81372606867447,300.0406172455089,0 1,0 0
69999_0_6,179999_0_76,192.81372606867447,492.8251028060913,300.069933143226,1 0,1 0
89999_0_73,24999_1_112,487.3392359284224,186.92865259339732,300.4201618142181,0 1,0 1
24999_1_112,54999_1_90,186.92865259339732,487.58175140685495,300.6827503819484,1 0,1 0
159999_1_107,69999_0_6,491.9613468647003,192.81372606867447,299.1947460582129,0 1,0 1
34999_1_129,24999_1_112,486.0639225905508,186.92865259339732,299.1823723746841,0 1,0 1
69999_0_6,149999_1_94,192.81372606867447,491.8369290185077,299.07388175846245,1 0,1 0
69999_0_6,149999_1_140,192.81372606867447,491.8287277076941,299.0505600063286,1 0,1 0
189999_1_86,24999_1_112,487.8788363933563,186.92865259339732,301.00032246523614,0 1,0 1
69999_0_6,34999_0_84,192.81372606867447,491.6727910085846,298.92635532113945,1 0,1 0
4999_1_70,9999_1_76,10.29833405500921,309.0299606552005,298.7919739153308,1 0,1 0
109999_0_112,24999_1_112,488.1300238579776,186.92865259339732,301.2107078628699,0 1,0 0
24999_1_112,109999_0_129,186.92865259339732,488.13007902447487,301.291051906144,1 0,1 0
69999_0_6,119999_1_92,192.81372606867447,491.3743540899397,298.6460360290857,1 0,1 0
144999_1_64,24999_1_112,488.4714912475452,186.92865259339732,301.577257783421,0 1,0 1
24999_1_112,209999_1_85,186.92865259339732,488.4589021715428,301.6281744675531,1 0,1 0
169999_1_61,69999_0_6,491.0958647963298,192.81372606867447,298.3254915609861,0 1,0 1
9999_1_41,4999_1_70,308.57722660619265,10.29833405500921,298.3116804387562,0 1,0 1
24999_1_112,144999_1_131,186.92865259339732,488.93675680244144,302.0443619506651,1 0,1 0
