query_idx_0,query_idx_1,return_0,return_1,rd
159999_1_66,169999_1_107,288.6615242983466,298.62325343354485,9.992988767793063
4999_1_47,14999_1_10,56.273548159319716,46.3270878132645,9.977586864067481
54999_0_123,194999_1_30,287.59911445911035,277.5589624643688,10.04298345907167
124999_1_130,84999_1_130,366.93133622594115,356.88858693399146,10.055515504766234
59999_1_107,34999_1_58,306.8411297776834,296.99100572289683,9.90688627573858
19999_0_99,59999_1_107,297.01945339727075,306.8411297776834,9.863604561858649
99999_0_64,74999_1_45,484.7879084994537,474.62093002516866,10.198898186034581
69999_0_127,169999_1_107,288.4411766990302,298.62325343354485,10.247419795346097
194999_0_45,74999_1_45,484.9100625778739,474.62093002516866,10.289627344125877
34999_1_44,184999_1_96,291.0288649418108,301.33118520085304,10.333049844653491
59999_0_97,34999_1_44,301.37449022144074,291.0288649418108,10.367004767927632
164999_1_119,159999_1_66,298.94674562075033,288.6615242983466,10.37194787933623
54999_0_123,139999_0_14,287.59911445911035,277.25087421688636,10.394364322830885
169999_1_108,159999_1_66,299.10777985894634,288.6615242983466,10.450803629938413
174999_0_101,184999_1_96,290.88717125491024,301.33118520085304,10.464545309842253
134999_1_4,64999_1_35,182.2391046482984,171.81479901948146,10.4797298165956
59999_0_97,174999_0_101,301.37449022144074,290.88717125491024,10.510598035546034
54999_0_123,34999_1_58,287.59911445911035,296.99100572289683,9.484439099423629
54999_0_123,19999_0_99,287.59911445911035,297.01945339727075,9.474021523844185
184999_1_54,194999_1_30,288.0704832420317,277.5589624643688,10.544117476067536
