query_idx_0,query_idx_1,return_0,return_1,rd,gt_label,human_label
14999_0_55,174999_1_16,41.983999293757904,32.07068624540022,10.00708393129703,0 1,0 1
189999_1_93,164999_1_120,49.19438606581544,39.18946173761859,10.00751499902978,0 1,0 1
114999_0_111,14999_1_131,44.94178621132341,34.98277308138475,9.989959939660224,0 1,1 0
74999_0_7,84999_0_29,24.02554882521112,14.094685837509942,9.987859283116702,0 1,0 1
84999_0_29,99999_0_112,14.094685837509942,24.05567463550256,9.987707457094263,1 0,1 0
184999_1_30,74999_0_137,38.53015534704835,48.49792289092836,9.983122908416975,1 0,1 0
139999_1_84,179999_1_61,49.81576935293258,39.89577666424551,9.98214408688848,0 1,0 1
29999_0_100,204999_1_94,38.169521020580525,48.12705402122024,10.023733408335076,1 0,1 0
104999_0_97,159999_0_57,45.42317326340228,35.43255286446,10.023980906903,0 1,0 1
179999_1_34,144999_1_35,42.75305918647737,32.75571810765396,10.026144726437964,0 1,0 1
94999_0_20,174999_1_16,22.124454220284875,32.07068624540022,9.97065390795764,1 0,1 0
134999_1_80,34999_1_54,39.06263980554055,49.06133409220944,10.030026387193972,1 0,1 0
29999_1_79,164999_1_31,45.295014234158366,35.33599906651885,10.030145092131209,0 1,1 0
179999_1_61,189999_0_124,39.89577666424551,49.837260974745696,9.967417855012974,1 0,1 0
154999_0_47,174999_1_16,42.030171482390536,32.07068624540022,10.033619137914728,0 1,0 1
209999_1_123,179999_1_61,49.89269277480828,39.89577666424551,10.034594414757006,0 1,0 0
179999_1_61,59999_0_104,39.89577666424551,49.93131520988305,10.040886000653764,1 0,1 0
179999_1_61,164999_0_109,39.89577666424551,49.8419737413006,10.041139881453695,1 0,1 0
164999_1_120,184999_1_99,39.18946173761859,49.13974432196729,10.046466226102972,1 0,1 0
39999_0_70,14999_1_131,45.024390533411086,34.98277308138475,10.055097775717297,0 1,0 1
